gate,sample_id,feature_key,local_value,external_expected_value,external_source,pass_fail,notes
Gate 3,case_8_event_start,sun_sidereal_lon_deg,324.485078254,324.490437300,PyJHora 4.8.6 Tier B automated check; Raman ayanamsa; true node; event timezone,pass,"Fill expected value from trusted ephemeris/Panchanga/Shadbala source, then rerun certification. | External value from PyJHora drik.sidereal_longitude with RAMAN mode. | numeric delta=0.005359046; tolerance=0.02"
Gate 3,case_8_event_start,moon_sidereal_lon_deg,65.838285879,65.838108625,PyJHora 4.8.6 Tier B automated check; Raman ayanamsa; true node; event timezone,pass,"Fill expected value from trusted ephemeris/Panchanga/Shadbala source, then rerun certification. | External value from PyJHora drik.sidereal_longitude with RAMAN mode. | numeric delta=0.000177254; tolerance=0.02"
Gate 3,case_8_event_start,rahu_true_node_sidereal_lon_deg,334.703114194,334.702738741,PyJHora 4.8.6 Tier B automated check; Raman ayanamsa; true node; event timezone,pass,"Fill expected value from trusted ephemeris/Panchanga/Shadbala source, then rerun certification. | External value from PyJHora drik.sidereal_longitude with RAMAN mode and true node. | numeric delta=0.000375453; tolerance=0.02"
Gate 3,case_8_event_start,tithi_name,Navami,Navami,PyJHora 4.8.6 Tier B automated check; RAMAN mode; tithi index normalized to project label,pass,"Fill expected value from trusted ephemeris/Panchanga/Shadbala source, then rerun certification. | External value from PyJHora drik.tithi index 9 normalized to Navami. | categorical exact compare"
Gate 3,case_8_event_start,moon_nakshatra_pada,Mrigashira 4,Mrigashira 4,PyJHora 4.8.6 Tier B automated check; RAMAN mode; nakshatra index normalized to project label,pass,"Fill expected value from trusted ephemeris/Panchanga/Shadbala source, then rerun certification. | External value from PyJHora drik.nakshatra index 5 pada 4 normalized to Mrigashira 4. | categorical exact compare"
Gate 3,case_8_event_start,shadbala_implemented_total_virupa.SUN,372.430114265,297.490000000,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates; Dig uses _dig_bala(method=2) canonical bounded circular-distance variant because the package default method=1 can exceed 60 virupa,fail,"Local strict-v6 BPHS source-profile value at Tokyo reference location; Raman ayanamsa; true node; Porphyry houses. Sthana uses degree-bounded D1 Moolatrikona and source weights; Kaala uses astronomical sunrise and the published Ahargana scheme; Chesta keeps motion state diagnostic separate; Yuddha candidates fail closed. Drik V2 uses a divide-by-four contribution ledger, dynamic Moon/Mercury nature, and range-based special aspects. Fill a planet-matched independent JHora export value and saved evidence path. | Independent PyJHora Raman-mode export; shad_bala()[6] total or private _drik_bala() value. | numeric delta=74.940114265; tolerance=0.5"
Gate 3,case_8_event_start,drik_bala_virupa.SUN,-2.950000000,-2.950000000,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates; Dig uses _dig_bala(method=2) canonical bounded circular-distance variant because the package default method=1 can exceed 60 virupa,pass,"Local strict-v6 BPHS source-profile value at Tokyo reference location; Raman ayanamsa; true node; Porphyry houses. Sthana uses degree-bounded D1 Moolatrikona and source weights; Kaala uses astronomical sunrise and the published Ahargana scheme; Chesta keeps motion state diagnostic separate; Yuddha candidates fail closed. Drik V2 uses a divide-by-four contribution ledger, dynamic Moon/Mercury nature, and range-based special aspects. Fill a planet-matched independent JHora export value and saved evidence path. | Independent PyJHora Raman-mode export; shad_bala()[6] total or private _drik_bala() value. | numeric delta=0.000000000; tolerance=0.5"
Gate 3,case_8_event_start,shadbala_implemented_total_virupa.MOON,529.434896334,469.050000000,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates; Dig uses _dig_bala(method=2) canonical bounded circular-distance variant because the package default method=1 can exceed 60 virupa,fail,"Local strict-v6 BPHS source-profile value at Tokyo reference location; Raman ayanamsa; true node; Porphyry houses. Sthana uses degree-bounded D1 Moolatrikona and source weights; Kaala uses astronomical sunrise and the published Ahargana scheme; Chesta keeps motion state diagnostic separate; Yuddha candidates fail closed. Drik V2 uses a divide-by-four contribution ledger, dynamic Moon/Mercury nature, and range-based special aspects. Fill a planet-matched independent JHora export value and saved evidence path. | Independent PyJHora Raman-mode export; shad_bala()[6] total or private _drik_bala() value. | numeric delta=60.384896334; tolerance=0.5"
Gate 3,case_8_event_start,drik_bala_virupa.MOON,-2.290000000,-2.290000000,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates; Dig uses _dig_bala(method=2) canonical bounded circular-distance variant because the package default method=1 can exceed 60 virupa,pass,"Local strict-v6 BPHS source-profile value at Tokyo reference location; Raman ayanamsa; true node; Porphyry houses. Sthana uses degree-bounded D1 Moolatrikona and source weights; Kaala uses astronomical sunrise and the published Ahargana scheme; Chesta keeps motion state diagnostic separate; Yuddha candidates fail closed. Drik V2 uses a divide-by-four contribution ledger, dynamic Moon/Mercury nature, and range-based special aspects. Fill a planet-matched independent JHora export value and saved evidence path. | Independent PyJHora Raman-mode export; shad_bala()[6] total or private _drik_bala() value. | numeric delta=0.000000000; tolerance=0.5"
Gate 3,case_8_event_start,shadbala_implemented_total_virupa.MARS,428.147526074,448.550000000,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates; Dig uses _dig_bala(method=2) canonical bounded circular-distance variant because the package default method=1 can exceed 60 virupa,fail,"Local strict-v6 BPHS source-profile value at Tokyo reference location; Raman ayanamsa; true node; Porphyry houses. Sthana uses degree-bounded D1 Moolatrikona and source weights; Kaala uses astronomical sunrise and the published Ahargana scheme; Chesta keeps motion state diagnostic separate; Yuddha candidates fail closed. Drik V2 uses a divide-by-four contribution ledger, dynamic Moon/Mercury nature, and range-based special aspects. Fill a planet-matched independent JHora export value and saved evidence path. | Independent PyJHora Raman-mode export; shad_bala()[6] total or private _drik_bala() value. | numeric delta=20.402473926; tolerance=0.5"
